,station_name,lat,long,number_lines
104,PAYA LEBAR MRT STATION,1.317771175,103.89260395,2
105,PENDING LRT STATION,1.376142883,103.7712881,1
106,PETIR LRT STATION,1.377750334,103.7666882,1
107,PHOENIX LRT STATION,1.378618844,103.7580559,1
108,PIONEER MRT STATION,1.337586882,103.6973586,1
109,POTONG PASIR MRT STATION,1.331379525,103.869046,1
110,PROMENADE MRT STATION,1.2930548014999999,103.86091905,2
111,PUNGGOL LRT STATION,1.405194701,103.9023911,1
112,PUNGGOL MRT STATION,1.404546728,103.902052,1
113,PUNGGOL POINT LRT STATION,1.41684852,103.9066284,1
114,QUEENSTOWN MRT STATION,1.294860933,103.8058913,1
115,RAFFLES PLACE MRT STATION,1.284125611,103.8514572,2
116,RANGGUNG LRT STATION,1.384233561,103.897176,1
117,REDHILL MRT STATION,1.289562726,103.8168209,1
118,RENJONG LRT STATION,1.386723922,103.8905227,1
119,RIVIERA LRT STATION,1.394524496,103.9161415,1
120,ROCHOR MRT STATION,1.306800025,103.8496427,1
121,RUMBIA LRT STATION,1.391468497,103.9059522,1
122,SAM KEE LRT STATION,1.409612685,103.9048099,1
123,SAMUDERA LRT STATION,1.415901719,103.9021353,1
124,SEGAR LRT STATION,1.387772131,103.7696171,1
125,SEMBAWANG MRT STATION,1.449050821,103.8200504,1
126,SENGKANG LRT STATION,1.391609364,103.8954243,1
127,SENGKANG MRT STATION,1.391694626,103.8954664,1
128,SENJA LRT STATION,1.382692296,103.7623879,1
129,SERANGOON MRT STATION,1.3501515655,103.87296045,2
130,SIMEI MRT STATION,1.343202895,103.9533387,1
131,SIXTH AVENUE MRT STATION,1.330786387,103.7972561,1
132,SOMERSET MRT STATION,1.300260055,103.8390737,1
133,SOO TECK LRT STATION,1.405088585,103.8971904,1
134,SOUTH VIEW LRT STATION,1.380298287,103.7453173,1
135,STADIUM MRT STATION,1.30284063,103.8753395,1
136,STEVENS MRT STATION,1.320065557,103.8260263,1
137,SUMANG LRT STATION,1.408452426,103.8985387,1
138,TAI SENG MRT STATION,1.335433322,103.88818,1
139,TAMPINES EAST MRT STATION,1.356191483,103.9546005,1
140,TAMPINES MRT STATION,1.3541893925,103.94407365,2
141,TAMPINES WEST MRT STATION,1.345515305,103.938408,1
142,TAN KAH KEE MRT STATION,1.325883209,103.8073292,1
143,TANAH MERAH MRT STATION,1.327187135,103.9463161,1
144,TANJONG PAGAR MRT STATION,1.276521247,103.8458611,1
145,TECK LEE LRT STATION,1.412770894,103.9065554,1
146,TECK WHYE LRT STATION,1.376684679,103.7537352,1
147,TELOK AYER MRT STATION,1.282289536,103.8482991,1
148,TELOK BLANGAH MRT STATION,1.270753211,103.8097544,1
149,TEN MILE JUNCTION LRT STATION,1.380321008,103.760161,1
150,THANGGAM LRT STATION,1.397318155,103.8756226,1
151,TIONG BAHRU MRT STATION,1.286193393,103.827021,1
152,TOA PAYOH MRT STATION,1.332628987,103.8474979,1
153,TONGKANG LRT STATION,1.389347953,103.8858287,1
154,TUAS CRESCENT MRT STATION,1.321026553,103.6491245,1
155,TUAS LINK MRT STATION,1.340463766,103.6369324,1
156,TUAS WEST ROAD MRT STATION,1.329989089,103.6396662,1
157,UBI MRT STATION,1.329956826,103.8992348,1
158,UPPER CHANGI MRT STATION,1.341737484,103.9614367,1
159,WOODLANDS MRT STATION,1.4364710545000001,103.7872225,2
160,WOODLANDS NORTH MRT STATION,1.4482,103.7851,1
161,WOODLANDS SOUTH MRT STATION,1.427259979,103.7938631,1
162,WOODLEIGH MRT STATION,1.339190046,103.8708081,1
163,YEW TEE MRT STATION,1.397535018,103.7474307,1
164,YIO CHU KANG MRT STATION,1.381756046,103.8449439,1
165,YISHUN MRT STATION,1.429443081,103.8350045,1
